"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SAMMAANCAP","EQ","28-Feb-2025","112.24","111.00","111.93","105.61","110.50","110.40","108.78","1,07,45,880","1,16,89,78,876.36","63,405","50,21,222","46.73"
"SAMMAANCAP","EQ","03-Mar-2025","110.40","111.04","112.38","103.85","108.36","108.92","107.28","91,61,270","98,28,05,681.51","58,644","42,36,784","46.25"
"SAMMAANCAP","EQ","04-Mar-2025","108.92","108.50","114.55","107.56","113.18","113.61","112.79","76,47,264","86,25,71,209.67","44,117","36,03,791","47.13"
"SAMMAANCAP","EQ","05-Mar-2025","113.61","113.90","118.20","113.90","116.95","117.09","116.38","67,02,385","78,00,10,262.01","33,554","36,60,374","54.61"
"SAMMAANCAP","EQ","06-Mar-2025","117.09","117.90","121.05","115.00","115.33","115.71","117.05","1,24,33,140","1,45,53,23,513.21","41,910","86,03,494","69.20"
"SAMMAANCAP","EQ","07-Mar-2025","115.71","115.15","119.60","115.05","117.30","116.84","117.96","1,05,33,999","1,24,25,63,494.86","45,453","59,50,306","56.49"
"SAMMAANCAP","EQ","10-Mar-2025","116.84","117.00","117.60","111.10","111.40","111.67","113.59","82,99,205","94,26,81,660.81","33,924","58,35,062","70.31"
"SAMMAANCAP","EQ","11-Mar-2025","111.67","110.44","111.84","108.40","110.70","110.13","110.42","91,73,133","1,01,28,88,392.66","38,372","51,25,453","55.87"
"SAMMAANCAP","EQ","12-Mar-2025","110.13","110.70","112.85","108.37","108.90","108.78","110.51","97,78,862","1,08,06,77,309.22","41,769","51,69,356","52.86"
"SAMMAANCAP","EQ","13-Mar-2025","108.78","109.01","110.65","107.27","107.55","107.57","108.69","70,83,673","76,99,33,690.41","29,406","42,14,001","59.49"
"SAMMAANCAP","EQ","17-Mar-2025","107.57","108.25","109.44","104.72","105.39","105.11","106.56","99,90,309","1,06,45,57,364.93","35,795","68,00,622","68.07"
"SAMMAANCAP","EQ","18-Mar-2025","105.11","106.71","110.30","106.62","110.10","109.94","108.92","96,75,157","1,05,38,26,894.41","41,311","49,94,760","51.62"
"SAMMAANCAP","EQ","19-Mar-2025","109.94","110.50","114.20","110.36","112.71","112.82","112.68","99,18,244","1,11,75,83,048.26","39,598","56,39,949","56.86"
